DUSSANDER ^^^ LIKE A RAVEN IN THE SKY;0000000026383;15.00;1.00;0000000026383;23;LPs;NIKT;;;;;;8.55
FRAMMENTI ^^^ S/T;0000000026406;15.00;0.00;0000000026406;23;LPs;NIKT;;;;;;8.55
FRAMMENTI ^^^ CORRONO GINOCCHIA SBUCCIATE;0000000026413;15.00;0.00;0000000026413;23;LPs;NIKT;;;;;;8.55
GLUE ^^^ FROM HERE TO OBSCURITY;0000000026420;15.00;1.00;0000000026420;23;LPs;NIKT;;;;;;8.55
FREE YOURSELF / FOILED AGAIN ^^^ S/T;0000000026444;15.00;1.00;0000000026444;23;LPs;NIKT;;;;;;8.55
FUEGO / GEORGE ^^^ S/T;0000000026451;15.00;1.00;0000000026451;23;LPs;NIKT;;;;;;8.55
ACTIVE MINDS ^^^ DIS IS GETTING PATHETIC...;0000000026482;17.00;0.00;0000000026482;23;LPs;NIKT;Loony Tunes Records;1995;;;;8.55
ACTIVE MINDS ^^^ RECIPE FOR DISASTER;0000000026499;17.00;0.00;0000000026499;23;LPs;NIKT;Loony Tunes Records;2000;TUNE 38;Hardcore/Punk;;9.98
ACTIVE MINDS ^^^ NATIONAL LOTTA E, THE;0000000026505;15.00;1.00;0000000026505;23;LPs;NIKT;Loony Tunes Records;1998;TUNE 36;Punk/Hardcore;LPs 7" / 33 1/3 RPM;9.98
RESTARTS, THE ^^^;0000000026574;0.00;0.00;0000000026574;23;CD;NIKT;;;;;;22.80
PAUKI ^^^ TO JEST,CZEGO CHCIELIŚCIE? 1996-2001;0000000026628;45.00;1.00;0000000026628;23;CD;NIKT;;;;;;27.55
PAUKI ^^^ ZĄB DRAGONA;0000000026635;45.00;1.00;0000000026635;23;CD;NIKT;;;;;;27.55
BRZECHWA JAN ^^^ PAN SOCZEWKA W PUSZCZY;0000000027014;8.00;0.00;0000000027014;23;MC;MAG-TON;;;;;;3.70
BRZECHWA JAN ^^^ WYPRAWA NA ARIADNIE;0000000027021;8.00;0.00;0000000027021;23;MC;MAG-TON;;;;;;3.70
BRZECHWA JAN ^^^ BAŚŃ O KORSARZU PALEMONIE;0000000027038;8.00;0.00;0000000027038;23;MC;MAG-TON;;;;;;3.70
BRZECHWA JAN ^^^ PAN DROPS I JEGO TRUPA;0000000027045;8.00;0.00;0000000027045;23;MC;MAG-TON;;;;;;3.70
BRZECHWA JAN ^^^ RYCERZ SZAŁAWIŁA;0000000027052;8.00;0.00;0000000027052;23;MC;MAG-TON;;;;;;3.70
BRZECHWA JAN ^^^ PAN SOCZEWKA;0000000027069;8.00;0.00;0000000027069;23;MC;MAG-TON;;;;;;3.70
CHOPIN F. ^^^ ZŁOTA KOLEKCJA 1;0000000027083;8.00;0.00;0000000027083;23;MC;MAG-TON;;;;;gra j.olejniczak;3.70
CHOPIN, F. ^^^ ZŁOTA KOLEKCJA 2;0000000027090;8.00;0.00;0000000027090;23;MC;MAG-TON;;;;;;3.70
CHOPIN, F. ^^^ ZŁOTA KOLEKCJA 3;0000000027106;8.00;0.00;0000000027106;23;MC;MAG-TON;;;;;;3.70
CHOPIN, F. ^^^ ZŁOTA KOLEKCJA 4;0000000027113;8.00;0.00;0000000027113;23;MC;MAG-TON;;;;;;3.70
CHOPIN, F. ^^^ ZŁOTA KOLEKCJA 5;0000000027120;8.00;0.00;0000000027120;23;MC;MAG-TON;;;;;;3.70
CHOPIN, F. ^^^ ZŁOTA KOLEKCJA 6;0000000027137;8.00;0.00;0000000027137;23;MC;MAG-TON;;;;;;3.70
CZABAK ^^^ S/T;0000000027144;10.00;0.00;0000000027144;23;MC;MAG-TON;;;;;;6.00
INTER MUSIC QUARTET ^^^ BLUE MOON CAFE;0000000027151;21.00;2.00;0000000027151;23;CD;MAG-TON;;;;;;10.00
CZABAK ^^^ S/T;0000000027168;21.00;1.00;0000000027168;23;CD;MAG-TON;;;;;;10.00
VERDI ^^^ ARIE I UWERTURY;0000000027175;25.00;3.00;0000000027175;23;CD;MAG-TON;;;;;;15.00
BIZET G./SAINT - SAENS C./DUKAS P./;0000000027182;25.00;3.00;0000000027182;23;CD;MAG-TON;;;;;;15.00
PRAWDA ^^^ ***DELETED*** ZMIERZCH;0000000030144;0.00;0.00;0000000030144;23;CD;ROCKERS;Lou & Rocked Boys;2006;LOU 021 CD;Punk/Rock;Rec.1999 / KONIEC NAKŁADU;7.00
V/A ^^^ PRZEDSTAWIENIE;0000000030557;0.00;0.00;0000000030557;23;MC;;;;;;;16.00
KAPUERA LANDEWU ^^^ RAPUJ... RATUJ SIĘ KTO MOŻE;0000000031103;0.00;17.00;0000000031103;23;CD;SPECAFIRMA;;2003;;Rap/HipHop;;8.50
OPOZYCJA ^^^ JAZDA PRÓBNA;0000000031110;0.00;0.00;0000000031110;23;CD;PROKREACJA;prokreacja hiphop label;2003;PHHL 001;Rap/HipHop;;15.00
NACION REIXA ^^^ SAFARI MENTAL;0000000031387;45.00;3.00;0000000031387;23;CD;METAK;Esan Ozenki Records;1997;EO 095;;;19.58
ENCYKLOPEDIA POLSKIEGO REGGAE;0000000035385;20.00;0.00;0000000035385;23;KSIĄŻKA;ZIMA;Zima;2004;ISBN 83-913108-2-5;Reggae/Dub;;12.50
RAW MATERIAL ^^^ S/T;0000000038065;45.00;0.00;0000000038065;23;CD;OSKAR;Forgotten Songs;2001;FSRCD 010;Rock;;29.90
SKRZEK, JÓZEF / BASS, COLIN ^^^ PLANETARIUM;0000000038164;38.00;27.00;0000000038164;23;CD;3WWW;;;;;;25.00
V/A ^^^ ***DELETED*** DUB OUT OF POLAND 1;0000000039039;0.00;0.00;0000000039039;23;CD;MAG;;;;;KONIEC NAKŁADU;10.00
MCF ^^^ ***DELETED*** MADE IN POLAND;0000000039116;0.00;1.00;0000000039116;23;CDs;MAG;;;;;;7.00
V/A ^^^ PUNCH TO DRUNK 1;0000000039253;25.00;0.00;0000000039253;23;CD;MAG;;;;;;20.00
SOMETHING LIKE ELVIS ^^^ ***DELETED*** CIGARETTE SMOKE...;0000000039277;0.00;0.00;0000000039277;23;MC;MAG;;;;;WYCOFANE;10.00
DO MAKE SAY THINK ^^^ YET & YET;0000000039437;45.00;0.00;0000000039437;23;LP;MAG;;;;;;20.00
GARNIER, LAURENT ^^^ FLASHBACK;0000000039444;45.00;1.00;0000000039444;23;LP;MAG;;;;Elektronika;;15.00
EL DUPA ^^^ ***DELETED*** A PUDLE?;0000000040013;5.00;0.00;0000000040013;23;MC;MIL;;;;;WYCOFANE;2.00
KAZIK ^^^ ***DELETED*** NA ŻYWO ALE W STUDIO;0000000040020;5.00;0.00;0000000040020;23;MC;MIL;;;;;WYCOFANE;2.00
KULT ^^^ ***DELETED*** KASETA;0000000040044;5.00;0.00;0000000040044;23;MC;MIL;;;;;WYCOFANE;2.00
KULT ^^^ ***DELETED*** SPOKOJNIE;0000000040051;5.00;0.00;0000000040051;23;MC;MIL;;;;;WYCOFANE;2.00
KULT ^^^ ***DELETED*** TATA KAZIKA 1;0000000040075;5.00;0.00;0000000040075;23;MC;MIL;;;;;WYCOFANE;2.00
KULT ^^^ ***DELETED*** KULT;0000000040099;5.00;0.00;0000000040099;23;MC;MIL;;;;;WYCOFANE;2.00
MICKIEWICZ ADAM ^^^ PAN TADEUSZ;0000000040112;90.00;2.00;0000000040112;23;8CD;MIL;;;;;Czyta K. GLOBISZ;57.80
OŚKA PRODUKCJA ^^^ ***DELETED*** KOMPILACJA;0000000040136;5.00;0.00;0000000040136;23;MC;MIL;;;;;WYCOFANE;2.00
V/A ^^^ ***DELETED*** ASFALT WIOSNA 2000 EP;0000000040143;5.00;0.00;0000000040143;23;MC;MIL;;;;;WYCOFANE;2.00
OMP ^^^ ***DELETED*** WILANÓW...ZOBACZ RÓŻNICĘ;0000000040150;5.00;0.00;0000000040150;23;MC;MIL;;;;;WYCOFANE;2.00
KONSULAT ^^^ ***DELETED*** KOMPROMIS;0000000040167;5.00;0.00;0000000040167;23;MC;MIL;;;;;WYCOFANE;2.00
V/A ^^^ ***DELETED*** NAJPIĘKNIEJSZE KOLĘDY;0000000040174;5.00;0.00;0000000040174;23;MC;MIL;;;;;WYCOFANE;2.00
V/A ^^^ ***DELETED*** ROBIĘ SWOJE 2;0000000040181;5.00;0.00;0000000040181;23;MC;MIL;;;;;WYCOFANE;2.00
V/A ^^^ ***DELETED*** POMYSŁ GONI POMYSŁ;0000000040198;5.00;0.00;0000000040198;23;MC;MIL;;;;;WYCOFANE;2.00
PNOUMATIK ^^^ ***DELETED*** PNOUMATIK;0000000040204;5.00;0.00;0000000040204;23;MC;MIL;;;;;WYCOFANE;2.00
PARAFUN ^^^ ***DELETED*** JEDNA SIŁA JEDEN CEL;0000000040211;5.00;0.00;0000000040211;23;MC;MIL;;;;;WYCOFANE;2.00
SIEDEM ŁEZ ^^^ ***DELETED*** WIELKI SEN;0000000040228;5.00;0.00;0000000040228;23;MC;MIL;;;;;WYCOFANE;2.00
FAZI ^^^ ***DELETED*** TRÓJKĄT BERMUDZKI SKŁAD;0000000040235;5.00;0.00;0000000040235;23;MC;MIL;;;;;WYCOFANE;2.00
NAGŁY ATAK SPAWACZA ^^^ ***DELETED*** RAP MASAKRA;0000000040242;5.00;0.00;0000000040242;23;MC;MIL;;;;;WYCOFANE;2.00
OBÓZ TA ^^^ ***DELETED*** OBÓZ TA;0000000040259;5.00;0.00;0000000040259;23;MC;MIL;;;;;WYCOFANE;2.00
DA BLAZE ^^^ ***DELETED*** PIERWSZY ODDECH;0000000040266;5.00;0.00;0000000040266;23;MC;MIL;;;;;WYCOFANE;2.00
V/A ^^^ ***DELETED*** MANEWRY CIĘTEGO DŹWIĘKU;0000000040273;5.00;0.00;0000000040273;23;MC;MIL;;;;;WYCOFANE;2.00
PNOUMATIK ^^^ PNOUMATIK;0000000040280;23.00;4.00;0000000040280;23;CD;MIL;Camey Studio;2000;;Rap/HipHop;Digipack;14.50
V/A ^^^ POMYSŁ GONI POMYSŁ;0000000040303;25.00;8.00;0000000040303;23;CD;MIL;Camey Studio;2001;C-130;Rap/HipHop;Jano, Siedem Łez, Onar, Szybki Szmal, Pnoumatik / Digipack;14.50
PEJA / SLUMS ATTACK ^^^ ***DELETED*** ULICZNE HISTORIE;0000000040341;5.00;0.00;0000000040341;23;MC;MIL;;;;;WYCOFANE;2.00
WZGÓRZE YA PA 3 / BORIXON ^^^ ***DELETED*** MAM PIĘĆ GRAM;0000000040358;5.00;0.00;0000000040358;23;MC;MIL;;;;;WYCOFANE;2.00
WZGÓRZE YA PA 3 / BORIXON ^^^ ***DELETED*** MAM PIĘĆ GRAM;0000000040389;13.00;0.00;0000000040389;23;CD;MIL;Camey Studio;2002;C-138;Rap/HipHop;KONIEC NAKŁADU;7.50
